id_buque,nombre,patente,pais,tipo,tipo_pesca,max_containers,max_ton,max_lit,id_capitan, nombre_naviera,pais_naviera,descripcion_naviera
0,Abbotsham,ZX2922,India,pesquero,hilo,,,,1070,CMA,Chile,Naviera dedicada a la pesca
1,Abdiel,PM8536,Canada,pesquero,red,,,,1186,CMA,Chile,Naviera dedicada a la pesca
2,Abeille,VC7492,Singapur,pesquero,arrastre,,,,1483,Cia. Maritima de Remolcadores Ltda.,Jamaica,Naviera dedicada a la pesca
3,Abelardo,LS5992,Costa Rica,pesquero,manos,,,,1629,Francis Drake S.A.,Estados Unidos,Naviera dedicada a la pesca
4,Abelia,PJ5481,Argentina,carga,,12853,80873,,1235,CCNI,Sudafrica,Naviera dedicada a la carga
5,Abercrombie,LX6914,Qatar,petrolero,,,,747998,1472,APL,Finlandia,Naviera dedicada al transporte de petroleo
6,Aberdeen,EH9187,Qatar,petrolero,,,,621254,30,BBC Chartering Andino S.A,Panama,Naviera dedicada al transporte de petroleo
7,Aberford,ST8633,Mexico,pesquero,arpon,,,,1557,Bertling Logistics S.A.,Australia,Naviera dedicada a la pesca
8,Aberfoyle,EY2745,Japon,pesquero,arrastre,,,,465,Francis Drake S.A.,Estados Unidos,Naviera dedicada a la pesca
9,abergavenny,LA5643,Siria,petrolero,,,,742270,316,Bonita Corporacion Noboa,Chile,Naviera dedicada al transporte de petroleo
10,Abigail,AU5998,Irlanda,pesquero,arrastre,,,,807,Yang Ming Marine Transport Corporation,Austria,Naviera dedicada a la pesca
11,Abingdon,ET5609,Nicaragua,pesquero,red,,,,1315,Antarctic Shipping S.A.,Belgica,Naviera dedicada a la pesca
12,abondance,MO4425,Filipinas,pesquero,hilo,,,,185,Yang Ming Marine Transport Corporation,Austria,Naviera dedicada a la pesca
13,aboukir,BY5212,Colombia,petrolero,,,,667660,675,BBC Chartering Andino S.A,Panama,Naviera dedicada al transporte de petroleo
14,Abrahan,EG8528,Brasil,pesquero,arpon,,,,318,Yang Ming Marine Transport Corporation,Austria,Naviera dedicada a la pesca
15,Abrams Oferta,QD4440,Estados Unidos,petrolero,,,,659028,1167,BBC Chartering Andino S.A,Panama,Naviera dedicada al transporte de petroleo
16,Abundancia,VX5561,Estados Unidos,pesquero,arpon,,,,636,Francis Drake S.A.,Estados Unidos,Naviera dedicada a la pesca
17,Abisinia,VT6220,Mexico,carga,,12828,92920,,488,Container Transport Solutions,Colombia,Naviera dedicada a la carga
18,Acacia,XK7318,Argentina,pesquero,red,,,,700,Cia. Maritima de Remolcadores Ltda.,Jamaica,Naviera dedicada a la pesca
19,Acanto,WW2485,Portugal,petrolero,,,,679090,380,BBC Chartering Andino S.A,Panama,Naviera dedicada al transporte de petroleo
20,acasta,HV2199,Mexico,carga,,11775,120647,,1486,CCNI,Sudafrica,Naviera dedicada a la carga
21,As,ID7819,Panama,pesquero,manos,,,,1528,Cia. Maritima de Remolcadores Ltda.,Jamaica,Naviera dedicada a la pesca
22,Acertif,QA2495,Nueva Zelanda,pesquero,hilo,,,,260,China Shipping Agency S.A.,Australia,Naviera dedicada a la pesca
23,achates,WF7217,Islas Malvinas,carga,,12170,133012,,441,AGENCO,Islas Malvinas,Naviera dedicada a la carga
24,acheron,BN4195,Costa Rica,carga,,10673,141691,,64,CCNI,Sudafrica,Naviera dedicada a la carga
25,Achille,UW2735,Austria,carga,,10712,113908,,1521,Beagle Navegation S.A.,Colombia,Naviera dedicada a la carga
26,Aquiles,EF7582,Belgica,carga,,6206,108484,,491,Beagle Navegation S.A.,Colombia,Naviera dedicada a la carga
27,Aconito,OT5458,Mexico,carga,,10805,128236,,1622,Container Transport Solutions,Colombia,Naviera dedicada a la carga
28,Bellota,YN4644,Islas Malvinas,pesquero,manos,,,,186,CMA,Chile,Naviera dedicada a la pesca
29,Acteon,FS3778,Indonesia,carga,,8470,142553,,1105,Evergreen Marine,Estados Unidos,Naviera dedicada a la carga
30,acteon,VW7522,Australia,pesquero,red,,,,1093,Yang Ming Marine Transport Corporation,Austria,Naviera dedicada a la pesca
31,Calypso,VI4743,Canada,pesquero,arpon,,,,1291,Cia. Maritima de Remolcadores Ltda.,Jamaica,Naviera dedicada a la pesca
32,Activo,OJ8771,España,petrolero,,,,561857,958,APL,Finlandia,Naviera dedicada al transporte de petroleo
33,Actividad,OC4762,Finlandia,pesquero,arpon,,,,1639,CMSP S.R.L.,Polonia,Naviera dedicada a la pesca
34,Agudo,XN4914,Peru,carga,,9431,108918,,978,Evergreen Marine,Estados Unidos,Naviera dedicada a la carga
35,Adan y Eva,XP9141,Jamaica,pesquero,manos,,,,1612,China Shipping Agency S.A.,Australia,Naviera dedicada a la pesca
36,Firme,EX4705,Japon,petrolero,,,,577929,1526,Brekstad Shipping S.A.,Japon,Naviera dedicada al transporte de petroleo
37,inflexible II,BJ4245,Tailandia,pesquero,manos,,,,706,Antarctic Shipping S.A.,Belgica,Naviera dedicada a la pesca
38,Agrega un,RH8308,Dinamarca,carga,,13906,108088,,497,AGENCO,Islas Malvinas,Naviera dedicada a la carga
39,Sumador,YP3858,Nicaragua,pesquero,hilo,,,,1479,CMSP S.R.L.,Polonia,Naviera dedicada a la pesca
