0,1,2
4,12853,80873
17,12828,92920
20,11775,120647
23,12170,133012
24,10673,141691
25,10712,113908
26,6206,108484
27,10805,128236
29,8470,142553
34,9431,108918
38,13906,108088
44,12073,105347
45,13432,138876
49,14660,147528
56,9568,138908
59,6207,127705
62,13371,143235
66,9266,110426
71,12639,89633
74,6249,89878
78,8659,85480
79,6600,126720
80,12412,112531
89,12345,107560
93,7559,89854
94,14590,134746
101,7301,127694
106,9934,98312
111,9676,131822
116,9250,144164
119,6868,127102
121,10055,118740
124,9586,139309
125,12465,123427
134,6160,134692
136,9006,86111
137,11877,140426
140,9548,97271
149,14531,94189
164,7642,87416
165,10962,113194
166,8438,103940
167,8142,118735
168,6968,99037
170,7635,111941
171,9611,147312
180,13885,97450
183,14648,90191
184,7602,132884
190,14600,118924
191,14837,97866
195,6926,139300
197,8628,133839
199,14876,143549
202,14922,125857
205,11036,119351
208,8282,87392
210,6640,88427
216,14606,97725
218,1342,122258
220,6477,149912
224,13002,147828
230,6099,122989
231,8383,99464
234,11211,115463
235,6361,101829
236,6520,114011
238,14312,143280
239,9798,82537
240,6737,113805
243,12367,131356
244,13020,92264
245,12062,133964
249,7567,84204
