fecha_atraque,fecha_salida,id_buque,nombre_puerto
2018-04-20 06:06:35,2018-04-27 23:05:22,202,Arica
2013-02-27 18:30:10,2013-02-28 09:38:32,76,nombre
2020-01-30 22:55:13,2020-01-31 17:25:45,43,Barquito
2015-05-06 12:46:36,2015-05-10 11:47:27,207,Puerto Angamos
2019-05-20 15:02:21,2019-05-21 05:34:16,146,Calderilla
2011-08-17 07:29:06,2011-08-31 22:37:39,229,Barquito
2021-06-08 21:31:23,,83,Guayacan
2017-12-24 07:51:47,2018-01-04 02:06:45,145,Caleta Coloso
2013-04-29 06:37:44,2013-04-30 06:08:53,79,Huasco
2018-08-11 07:41:45,2018-08-11 22:00:44,77,Guayacan
2019-06-29 02:45:33,2019-07-04 19:21:17,153,Corral
2018-02-28 07:06:16,2018-03-14 04:02:30,192,Lirquen
2020-10-27 20:37:49,,249,Calderilla
2020-12-09 17:02:32,,244,Quintero
2017-06-17 12:12:29,2017-06-22 03:02:33,78,Coquimbo
2012-04-04 09:16:24,2012-04-05 04:12:23,167,Caldera
2021-07-22 07:14:50,,156,Coronel
2021-01-15 03:33:43,,210,Punta Patache
2020-11-25 00:28:10,,156,Coronel
2019-03-22 09:04:08,2019-03-23 02:22:59,41,Caleta Coloso
2020-09-17 02:48:54,,103,La Serena
2020-04-11 20:34:46,2020-04-18 14:55:23,176,Caleta Patillos
2020-09-11 13:15:38,,171,Huasco
2017-12-12 00:17:28,2017-12-12 23:15:54,184,Quintero
2011-08-22 23:52:28,2011-09-01 20:14:47,166,Arica
2017-08-09 02:19:41,2017-08-14 23:05:05,19,Guayacan
2019-05-26 15:25:22,2019-05-27 06:34:54,35,Cabo Negro
2020-12-01 01:35:11,,58,Puerto Montt
2020-07-27 09:06:46,2020-08-05 06:47:53,242,Penco
2011-12-10 04:14:38,2011-12-11 00:50:15,140,Mejillones
2021-05-11 07:46:01,,27,Chacabuco
2019-10-23 18:39:01,2019-11-02 09:44:20,201,Arica
2019-03-04 01:49:48,2019-03-18 16:50:34,155,Coronel
2018-09-27 03:47:38,2018-09-28 00:22:15,90,Caleta Coloso
2010-06-14 12:17:28,2010-06-15 07:18:34,64,Port Williams
2013-08-25 09:17:15,2013-08-26 06:37:25,18,Port Williams
2012-06-09 03:12:41,2012-06-09 20:05:27,59,Isla de Pascua
2014-08-06 13:46:49,2014-08-20 11:11:52,35,Coronel
2011-06-04 05:02:34,2011-06-15 00:10:17,132,Puerto Montt
2017-01-24 07:16:18,2017-01-25 03:09:25,231,Guayacan
2016-04-14 22:11:07,2016-04-15 14:19:24,155,Calderilla
2021-07-28 00:31:39,,201,Huasco
2019-03-29 03:34:06,2019-03-29 21:23:27,181,Port Williams
2020-10-17 04:13:53,,133,Guayacan
2016-06-30 04:02:02,2016-07-01 02:29:15,98,Quellon
2021-02-15 14:59:49,,68,Quellon
2016-04-21 08:32:12,2016-04-22 02:31:42,176,Isla Guarello
2021-05-06 16:28:39,,74,Taltal
2015-12-18 02:20:55,2015-12-19 00:48:07,29,Tocopilla
2012-07-26 01:54:43,2012-07-26 23:44:57,241,Cabo Negro
2021-01-02 07:56:35,,171,Calderilla
2020-10-30 00:12:52,,240,nombre
2012-09-25 23:55:54,2012-10-02 14:09:47,30,Lirquen
2020-09-01 18:29:23,2020-09-11 11:02:39,101,Quintero
2015-05-12 07:19:14,2015-05-13 03:37:35,230,Quellon
2014-12-21 22:21:23,2014-12-22 19:07:11,104,Cruz Grande
2015-09-16 11:19:53,2015-09-17 07:45:39,137,Barquito
2021-07-16 11:32:07,,145,Puerto Montt
2019-09-05 03:05:51,2019-09-05 21:03:50,245,Chacabuco
2021-08-15 00:12:46,,10,Caleta Coloso
2013-08-26 22:46:16,2013-08-27 21:35:35,128,Balmaceda
2019-01-31 10:28:50,2019-02-09 09:54:03,70,La Serena
2012-02-18 08:38:35,2012-02-29 03:03:56,203,Lota
2015-01-11 15:16:01,2015-01-12 11:02:03,117,Mejillones
2017-09-27 05:08:30,2017-09-28 01:24:03,228,Mejillones
2020-12-16 02:56:08,,170,Caleta Coloso
2021-01-13 17:40:56,,178,Coquimbo
2021-04-01 00:09:50,,10,Lota
2010-08-07 14:45:10,2010-08-08 13:38:43,46,Puerto Montt
2013-09-21 01:34:37,2013-09-21 21:14:43,190,Puerto Chacabuco
2021-01-22 01:39:53,,84,Taltal
2021-06-19 05:17:54,,55,Coronel
2021-05-23 12:26:50,,201,Mejillones
2012-11-17 07:07:15,2012-11-17 23:04:27,81,Lota
2017-10-15 06:29:50,2017-10-15 23:48:45,177,Ancud
2019-03-16 21:55:49,2019-03-28 20:58:50,29,Barquito
2017-01-25 03:34:12,2017-02-03 18:22:26,149,Antofagasta
2014-12-30 21:51:45,2014-12-31 14:08:29,117,Quemchi
2019-07-31 22:56:09,2019-08-11 15:39:42,186,Caleta Coloso
2010-09-22 06:16:17,2010-09-30 22:59:32,66,Lota
2021-02-04 12:12:33,,143,Calderilla
2013-12-13 17:00:07,2013-12-14 07:55:47,148,Penco
2014-07-05 02:56:31,2014-07-05 19:32:00,4,La Serena
2016-04-21 05:46:57,2016-04-28 00:04:22,96,Huasco
2016-10-09 23:34:24,2016-10-10 17:56:29,115,Barquito
2017-03-04 04:19:10,2017-03-04 20:52:31,134,Quintero
2010-03-19 23:07:33,2010-03-26 22:25:32,189,La Serena
2011-07-18 13:18:04,2011-07-19 03:23:11,220,Calderilla
2020-12-05 22:40:37,,224,Barquito
2012-05-30 15:32:39,2012-05-31 09:27:25,71,Cruz Grande
2019-03-21 01:36:28,2019-03-21 22:38:30,143,Antofagasta
2011-07-26 01:14:18,2011-07-26 17:21:44,165,Punta Patache
2019-10-17 15:54:18,2019-10-26 12:41:41,189,Taltal
2021-09-06 04:02:26,,54,San Vicente
2010-11-06 16:28:52,2010-11-07 07:18:50,230,Quellon
2016-12-25 05:03:19,2017-01-09 03:15:19,239,Guayacan
2020-11-12 17:07:56,,211,Lirquen
2014-08-30 06:37:19,2014-08-31 03:36:46,5,Barquito
2012-09-04 22:48:17,2012-09-05 14:23:24,149,Cabo Negro
2013-07-26 06:45:21,2013-08-05 04:55:56,145,Caldera
2021-05-24 12:49:41,,241,Ancud
2012-12-08 00:07:00,2012-12-08 20:56:28,82,Arica
2014-03-21 04:58:39,2014-03-21 21:52:38,19,Mejillones
2016-07-15 14:28:05,2016-07-16 10:55:01,243,Taltal
2017-02-14 21:56:27,2017-02-26 19:31:51,222,Barquito
2021-04-04 03:18:17,,21,Quellon
2017-05-19 23:17:39,2017-06-01 19:31:24,164,Caleta Coloso
2020-08-07 04:30:03,2020-08-08 03:32:28,10,Ancud
2017-07-27 19:51:48,2017-07-28 10:23:37,184,Lota
2021-06-06 17:52:09,,40,Caleta Patillos
2012-06-27 21:55:54,2012-06-28 21:05:20,72,Barquito
2021-09-02 15:02:20,,13,Tocopilla
2014-06-28 20:35:40,2014-06-29 14:59:01,118,Coronel
2019-02-19 02:14:08,2019-03-03 01:19:42,246,Cruz Grande
2021-01-03 19:07:54,,96,Port Williams
2012-03-23 16:16:53,2012-03-24 12:01:28,112,Coronel
2021-06-17 22:08:12,,33,Chacabuco
2017-02-09 21:50:19,2017-02-24 21:46:47,102,Puerto Angamos
2013-03-25 23:52:46,2013-03-26 17:14:51,20,Quintero
2021-02-20 12:14:48,,19,Ancud
2016-07-16 00:43:30,2016-07-22 20:19:47,214,Coronel
2018-11-02 08:15:23,2018-11-03 03:11:44,144,Guayacan
2013-01-12 10:08:13,2013-01-13 04:09:43,85,Puerto Montt
2018-01-09 09:07:53,2018-01-10 05:40:15,184,Cruz Grande
2021-01-09 04:49:05,,38,Huasco
2019-11-25 23:29:58,2019-11-26 21:07:48,152,Mejillones
2020-12-08 06:17:17,,78,Chacabuco
2021-05-01 02:45:37,,106,La Serena
2021-07-28 01:06:27,,28,Cruz Grande
2012-11-04 10:40:41,2012-11-05 08:54:49,39,Calderilla
2021-07-03 18:49:48,,243,Mejillones
2015-09-21 08:29:50,2015-09-22 02:16:21,30,Chacabuco
2013-08-12 00:41:31,2013-08-12 14:41:15,224,Chacabuco
2020-10-16 09:14:59,,80,Arica
2011-07-03 03:35:09,2011-07-03 18:28:22,127,nombre
2021-01-11 15:52:07,,122,Lota
2011-08-28 05:25:04,2011-08-29 03:03:43,115,Taltal
2011-11-21 03:04:28,2011-11-27 02:57:04,29,Caleta Coloso
2021-04-07 10:04:16,,156,Ancud
2015-05-20 15:15:45,2015-05-27 11:14:41,42,Barquito
2018-12-22 18:00:59,2018-12-23 17:35:55,55,Arica
2019-01-05 19:11:37,2019-01-06 12:05:01,87,Huasco
2020-07-10 20:56:26,2020-07-11 11:45:49,111,Guayacan
2015-04-12 01:49:38,2015-04-24 18:12:55,195,Mejillones
2015-08-22 18:46:19,2015-08-27 10:56:41,198,Punta Arenas
2021-04-05 12:45:43,,23,Caleta Coloso
2010-11-08 16:33:42,2010-11-09 13:58:22,187,Calderilla
2012-01-13 07:29:40,2012-01-24 07:24:51,153,Lirquen
2017-06-13 13:12:45,2017-06-17 10:01:53,176,Port Williams
2021-08-31 15:11:51,,6,Quintero
