0,1,2,3,4
2018-04-20 06:06:35,2018-04-27 23:05:22,202,Arica,"1
"
2013-02-27 18:30:10,2013-02-28 09:38:32,76,nombre,"2
"
2020-01-30 22:55:13,2020-01-31 17:25:45,43,Barquito,"3
"
2015-05-06 12:46:36,2015-05-10 11:47:27,207,Puerto Angamos,"4
"
2019-05-20 15:02:21,2019-05-21 05:34:16,146,Calderilla,"5
"
2011-08-17 07:29:06,2011-08-31 22:37:39,229,Barquito,"6
"
2021-06-08 21:31:23,,83,Guayacan,"7
"
2017-12-24 07:51:47,2018-01-04 02:06:45,145,Caleta Coloso,"8
"
2013-04-29 06:37:44,2013-04-30 06:08:53,79,Huasco,"9
"
2018-08-11 07:41:45,2018-08-11 22:00:44,77,Guayacan,"10
"
2019-06-29 02:45:33,2019-07-04 19:21:17,153,Corral,"11
"
2018-02-28 07:06:16,2018-03-14 04:02:30,192,Lirquen,"12
"
2020-10-27 20:37:49,,249,Calderilla,"13
"
2020-12-09 17:02:32,,244,Quintero,"14
"
2017-06-17 12:12:29,2017-06-22 03:02:33,78,Coquimbo,"15
"
2012-04-04 09:16:24,2012-04-05 04:12:23,167,Caldera,"16
"
2021-07-22 07:14:50,,156,Coronel,"17
"
2021-01-15 03:33:43,,210,Punta Patache,"18
"
2020-11-25 00:28:10,,156,Coronel,"19
"
2019-03-22 09:04:08,2019-03-23 02:22:59,41,Caleta Coloso,"20
"
2020-09-17 02:48:54,,103,La Serena,"21
"
2020-04-11 20:34:46,2020-04-18 14:55:23,176,Caleta Patillos,"22
"
2020-09-11 13:15:38,,171,Huasco,"23
"
2017-12-12 00:17:28,2017-12-12 23:15:54,184,Quintero,"24
"
2011-08-22 23:52:28,2011-09-01 20:14:47,166,Arica,"25
"
2017-08-09 02:19:41,2017-08-14 23:05:05,19,Guayacan,"26
"
2019-05-26 15:25:22,2019-05-27 06:34:54,35,Cabo Negro,"27
"
2020-12-01 01:35:11,,58,Puerto Montt,"28
"
2020-07-27 09:06:46,2020-08-05 06:47:53,242,Penco,"29
"
2011-12-10 04:14:38,2011-12-11 00:50:15,140,Mejillones,"30
"
2021-05-11 07:46:01,,27,Chacabuco,"31
"
2019-10-23 18:39:01,2019-11-02 09:44:20,201,Arica,"32
"
2019-03-04 01:49:48,2019-03-18 16:50:34,155,Coronel,"33
"
2018-09-27 03:47:38,2018-09-28 00:22:15,90,Caleta Coloso,"34
"
2010-06-14 12:17:28,2010-06-15 07:18:34,64,Port Williams,"35
"
2013-08-25 09:17:15,2013-08-26 06:37:25,18,Port Williams,"36
"
2012-06-09 03:12:41,2012-06-09 20:05:27,59,Isla de Pascua,"37
"
